compare,bit_i,bit_j,line_i,line_j,data_ro_i,data_ro_j,delta_abs_pearson,delta_mi_bits,label_abs_pearson,base_abs_pearson,label_mi_bits,base_mi_bits
w10_minus_w5,6,38,0,4,6,6,-0.024802806,-0.047579663,0.837640590,0.862443396,0.588591751,0.636171415
w10_minus_w5,17,33,2,4,1,1,-0.027359854,-0.047460423,0.817093158,0.844453012,0.560008714,0.607469137
w10_minus_w5,43,51,5,6,3,3,-0.137777501,-0.047360082,0.164844238,0.302621739,0.019686153,0.067046235
w11_minus_w5,0,8,0,1,0,0,0.031306035,0.046386582,0.787247233,0.755941198,0.511312077,0.464925495
w11_minus_w5,18,26,2,3,2,2,0.051918315,0.045729828,0.576627958,0.524709643,0.253689060,0.207959231
w10_minus_w5,11,35,1,4,3,3,-0.146452985,-0.045176643,0.136449963,0.282902949,0.013486536,0.058663178
w11_minus_w5,1,25,0,3,1,1,0.057244123,0.044500561,0.518966108,0.461721985,0.204373128,0.159872568
w11_minus_w5,6,14,0,1,6,6,0.045085613,0.044180271,0.620368962,0.575283349,0.296211008,0.252030737
w11_minus_w5,12,20,1,2,4,4,-0.033286299,-0.043992846,0.706848775,0.740135074,0.398655960,0.442648806
w11_minus_w5,18,34,2,4,2,2,-0.030248879,-0.043866578,0.790191631,0.820440509,0.576045905,0.619912483
w11_minus_w5,34,42,4,5,2,2,0.041058838,0.043659082,0.652552362,0.611493524,0.331937127,0.288278045
w10_minus_w5,2,58,0,7,2,2,-0.088751950,-0.043505894,0.279421543,0.368173493,0.057355897,0.100861792
w10_minus_w5,22,38,2,4,6,6,-0.030093853,-0.043245160,0.787073735,0.817167589,0.571688679,0.614933839
w11_minus_w5,4,44,0,5,4,4,0.064815305,0.042894735,0.461005047,0.396189742,0.159265857,0.116371122
w10_minus_w5,1,49,0,6,1,1,-0.192935236,-0.042689241,0.055218157,0.248153394,0.002200627,0.044889868
w10_minus_w5,8,56,1,7,0,0,0.127040880,0.040718609,0.281738945,0.154698064,0.058052525,0.017333916
w10_minus_w5,24,56,3,7,0,0,0.052717311,0.040713646,0.515651001,0.462933690,0.201367222,0.160653576
w11_minus_w5,15,55,1,6,7,7,0.042890369,0.040648565,0.600707791,0.557817422,0.277782343,0.237133778
w11_minus_w5,4,12,0,1,4,4,-0.051194652,-0.040496010,0.471871051,0.523065703,0.167341782,0.207837792
w10_minus_w5,3,35,0,4,3,3,-0.057570170,-0.040016237,0.420737876,0.478308047,0.131652918,0.171669155
w10_minus_w5,12,44,1,5,4,4,0.164359366,0.039254734,0.245864494,0.081505127,0.044051751,0.004797017
w11_minus_w5,30,46,3,5,6,6,-0.032286970,-0.038837440,0.628141066,0.660428036,0.315911624,0.354749063
w10_minus_w5,36,44,4,5,4,4,-0.230473988,-0.038711665,0.000137348,0.230611336,0.000000014,0.038711678
w11_minus_w5,9,33,1,4,1,1,-0.048516183,-0.038257027,0.473604253,0.522120436,0.168597610,0.206854637
w11_minus_w5,24,32,3,4,0,0,0.039554043,0.038202357,0.602149417,0.562595373,0.280437150,0.242234793
w11_minus_w5,2,42,0,5,2,2,-0.029444506,-0.037587030,0.699696210,0.729140716,0.387276510,0.424863541
w11_minus_w5,39,63,4,7,7,7,0.043659283,0.037381990,0.546709195,0.503049912,0.229757375,0.192375384
w10_minus_w5,23,47,2,5,7,7,0.043985997,0.037236794,0.561984308,0.517998311,0.242566477,0.205329683
w11_minus_w5,15,23,1,2,7,7,-0.052142144,-0.037013985,0.430289025,0.482431169,0.137500662,0.174514648
