name,ref_name_formal,ref_name_compact,formal_loc,compact_loc,formal_bel,compact_bel,loc_changed,bel_changed
state_count[52]_i_1,LUT6,LUT6,SLICE_X39Y48,SLICE_X41Y46,SLICEL.D6LUT,SLICEL.D6LUT,True,False
state_count[53]_i_1,LUT6,LUT6,SLICE_X40Y49,SLICE_X39Y47,SLICEL.A6LUT,SLICEL.A6LUT,True,False
state_count[54]_i_1,LUT6,LUT6,SLICE_X40Y49,SLICE_X39Y47,SLICEL.B6LUT,SLICEL.B6LUT,True,False
state_count[55]_i_1,LUT6,LUT6,SLICE_X40Y49,SLICE_X41Y47,SLICEL.C6LUT,SLICEL.A6LUT,True,True
state_count[56]_i_1,LUT6,LUT6,SLICE_X40Y49,SLICE_X39Y47,SLICEL.D6LUT,SLICEL.C6LUT,True,True
state_count[57]_i_1,LUT6,LUT6,SLICE_X40Y50,SLICE_X39Y48,SLICEL.A6LUT,SLICEL.A6LUT,True,False
state_count[58]_i_1,LUT6,LUT6,SLICE_X40Y50,SLICE_X41Y48,SLICEL.B6LUT,SLICEL.A6LUT,True,True
state_count[59]_i_1,LUT6,LUT6,SLICE_X40Y50,SLICE_X41Y48,SLICEL.C6LUT,SLICEL.B6LUT,True,True
state_count[5]_i_1,LUT6,LUT6,SLICE_X42Y40,SLICE_X41Y35,SLICEM.B6LUT,SLICEL.B6LUT,True,True
state_count[60]_i_1,LUT6,LUT6,SLICE_X42Y50,SLICE_X41Y48,SLICEM.A6LUT,SLICEL.C6LUT,True,True
state_count[61]_i_1,LUT6,LUT6,SLICE_X42Y50,SLICE_X39Y48,SLICEM.B6LUT,SLICEL.B6LUT,True,True
state_count[62]_i_1,LUT6,LUT6,SLICE_X42Y50,SLICE_X39Y48,SLICEM.C6LUT,SLICEL.C6LUT,True,True
state_count[63]_i_2,LUT6,LUT6,SLICE_X40Y50,SLICE_X41Y48,SLICEL.D6LUT,SLICEL.D6LUT,True,False
state_count[6]_i_1,LUT6,LUT6,SLICE_X42Y39,SLICE_X39Y35,SLICEM.B6LUT,SLICEL.C6LUT,True,True
state_count[7]_i_1,LUT6,LUT6,SLICE_X42Y38,SLICE_X41Y35,SLICEM.B6LUT,SLICEL.C6LUT,True,True
state_count[8]_i_1,LUT6,LUT6,SLICE_X42Y38,SLICE_X39Y35,SLICEM.C6LUT,SLICEL.D6LUT,True,True
state_count[9]_i_1,LUT6,LUT6,SLICE_X42Y38,SLICE_X39Y36,SLICEM.D6LUT,SLICEL.B6LUT,True,True
state_count_reg[0],FDRE,FDRE,SLICE_X42Y39,SLICE_X39Y36,SLICEM.AFF,SLICEL.CFF,True,True
state_count_reg[10],FDRE,FDRE,SLICE_X40Y38,SLICE_X41Y36,SLICEL.AFF,SLICEL.AFF,True,False
state_count_reg[11],FDRE,FDRE,SLICE_X40Y38,SLICE_X41Y36,SLICEL.BFF,SLICEL.BFF,True,False
state_count_reg[12],FDRE,FDRE,SLICE_X42Y38,SLICE_X39Y36,SLICEM.AFF,SLICEL.AFF,True,True
state_count_reg[12]_i_2,CARRY4,CARRY4,SLICE_X41Y38,SLICE_X40Y36,SLICEL.CARRY4,SLICEL.CARRY4,True,False
state_count_reg[13],FDRE,FDRE,SLICE_X40Y39,SLICE_X39Y37,SLICEL.AFF,SLICEL.AFF,True,False
