row_id,board,route_label,result_case,warmup,observed_p1,observed_abs_bias,sample_ro_pips,sampled_data_pips,data_ro_pips,total_pips_audited,sample_to_data_pip_ratio,neighborhood_rows,correlation_scope,limitation,route_source,result_source
per_bitstream_route_audit_second_heldout_per_bitstream_route_audit_20260530_15,,second_except_data_ro5,,,,,8712,267,16221,,,505,per-bitstream route audit as provided,schema-normalized optional input,data\experiments\second_heldout_sampler_route_diff_20260530\second_heldout_per_bitstream_route_audit_20260530.csv,data\experiments\second_heldout_sampler_route_diff_20260530\second_heldout_per_bitstream_route_audit_20260530.csv
per_bitstream_route_audit_second_heldout_per_bitstream_route_audit_20260530_16,,second_except_data_ro6,,,,,8763,270,16274,,,269,per-bitstream route audit as provided,schema-normalized optional input,data\experiments\second_heldout_sampler_route_diff_20260530\second_heldout_per_bitstream_route_audit_20260530.csv,data\experiments\second_heldout_sampler_route_diff_20260530\second_heldout_per_bitstream_route_audit_20260530.csv
per_bitstream_route_audit_second_heldout_per_bitstream_route_audit_20260530_17,,second_except_data_ro7,,,,,8750,281,16245,,,563,per-bitstream route audit as provided,schema-normalized optional input,data\experiments\second_heldout_sampler_route_diff_20260530\second_heldout_per_bitstream_route_audit_20260530.csv,data\experiments\second_heldout_sampler_route_diff_20260530\second_heldout_per_bitstream_route_audit_20260530.csv
implementation_metrics_implementation_metrics_20260530_1,,heldout_all640,,,,,,,,,,,implementation metrics as provided,resource/timing/power schema not standardized by this script,data\experiments\tvlsi_sampler_aperture_model_20260530\implementation_metrics_20260530.csv,data\experiments\tvlsi_sampler_aperture_model_20260530\implementation_metrics_20260530.csv
implementation_metrics_implementation_metrics_20260530_2,,heldout_data_ro0,,,,,,,,,,,implementation metrics as provided,resource/timing/power schema not standardized by this script,data\experiments\tvlsi_sampler_aperture_model_20260530\implementation_metrics_20260530.csv,data\experiments\tvlsi_sampler_aperture_model_20260530\implementation_metrics_20260530.csv
implementation_metrics_implementation_metrics_20260530_3,,heldout_data_ro1,,,,,,,,,,,implementation metrics as provided,resource/timing/power schema not standardized by this script,data\experiments\tvlsi_sampler_aperture_model_20260530\implementation_metrics_20260530.csv,data\experiments\tvlsi_sampler_aperture_model_20260530\implementation_metrics_20260530.csv
implementation_metrics_implementation_metrics_20260530_4,,heldout_data_ro2,,,,,,,,,,,implementation metrics as provided,resource/timing/power schema not standardized by this script,data\experiments\tvlsi_sampler_aperture_model_20260530\implementation_metrics_20260530.csv,data\experiments\tvlsi_sampler_aperture_model_20260530\implementation_metrics_20260530.csv
implementation_metrics_implementation_metrics_20260530_5,,heldout_data_ro3,,,,,,,,,,,implementation metrics as provided,resource/timing/power schema not standardized by this script,data\experiments\tvlsi_sampler_aperture_model_20260530\implementation_metrics_20260530.csv,data\experiments\tvlsi_sampler_aperture_model_20260530\implementation_metrics_20260530.csv
implementation_metrics_implementation_metrics_20260530_6,,heldout_data_ro4,,,,,,,,,,,implementation metrics as provided,resource/timing/power schema not standardized by this script,data\experiments\tvlsi_sampler_aperture_model_20260530\implementation_metrics_20260530.csv,data\experiments\tvlsi_sampler_aperture_model_20260530\implementation_metrics_20260530.csv
implementation_metrics_implementation_metrics_20260530_7,,heldout_data_ro5,,,,,,,,,,,implementation metrics as provided,resource/timing/power schema not standardized by this script,data\experiments\tvlsi_sampler_aperture_model_20260530\implementation_metrics_20260530.csv,data\experiments\tvlsi_sampler_aperture_model_20260530\implementation_metrics_20260530.csv
implementation_metrics_implementation_metrics_20260530_8,,heldout_data_ro6,,,,,,,,,,,implementation metrics as provided,resource/timing/power schema not standardized by this script,data\experiments\tvlsi_sampler_aperture_model_20260530\implementation_metrics_20260530.csv,data\experiments\tvlsi_sampler_aperture_model_20260530\implementation_metrics_20260530.csv
implementation_metrics_implementation_metrics_20260530_9,,heldout_data_ro7,,,,,,,,,,,implementation metrics as provided,resource/timing/power schema not standardized by this script,data\experiments\tvlsi_sampler_aperture_model_20260530\implementation_metrics_20260530.csv,data\experiments\tvlsi_sampler_aperture_model_20260530\implementation_metrics_20260530.csv
implementation_metrics_implementation_metrics_20260530_10,,heldout_except_data_ro0,,,,,,,,,,,implementation metrics as provided,resource/timing/power schema not standardized by this script,data\experiments\tvlsi_sampler_aperture_model_20260530\implementation_metrics_20260530.csv,data\experiments\tvlsi_sampler_aperture_model_20260530\implementation_metrics_20260530.csv
