board,context,implementation,warmup,kind,index,p1,signed_bias,abs_bias,beta_factor,min_entropy,worst_x,worst_p1,source_file
z7020_b02,second_heldout_sample_ro_local,board2_second_heldout_sampler,10,except_data_ro,5,0.498690000,-0.001310000,0.001310000,0.002620000,0.996225082,870,0.442000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_second_heldout_sampler_20260530\summary\second_heldout_reduced_xor_full_map.csv
z7020_b02,second_heldout_sample_ro_local,board2_second_heldout_sampler,10,except_data_ro,6,0.463716000,-0.036284000,0.036284000,0.072568000,0.898930884,114,0.406000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_second_heldout_sampler_20260530\summary\second_heldout_reduced_xor_full_map.csv
z7020_b02,second_heldout_sample_ro_local,board2_second_heldout_sampler,10,except_data_ro,7,0.483647000,-0.016353000,0.016353000,0.032706000,0.953570407,515,0.435000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_second_heldout_sampler_20260530\summary\second_heldout_reduced_xor_full_map.csv
z7020_b02,board2_crossboard_full_map,restart_reduced_xor_w5_all640_board2_sync.payload,5,all640,all,0.501190000,0.001190000,0.001190000,-0.002380000,0.996570465,552,0.552000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_crossboard\summary\board2_reduced_xor_w5_w10_w11_full_map_mechanism.csv
z7020_b02,board2_crossboard_full_map,restart_reduced_xor_w5_data_ro0_board2_sync.payload,5,data_ro,0,0.224259000,-0.275741000,0.275741000,0.551482000,0.366353041,992,0.008000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_crossboard\summary\board2_reduced_xor_w5_w10_w11_full_map_mechanism.csv
z7020_b02,board2_crossboard_full_map,restart_reduced_xor_w5_data_ro1_board2_sync.payload,5,data_ro,1,0.543839000,0.043839000,0.043839000,-0.087678000,0.878748481,848,0.848000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_crossboard\summary\board2_reduced_xor_w5_w10_w11_full_map_mechanism.csv
z7020_b02,board2_crossboard_full_map,restart_reduced_xor_w5_data_ro2_board2_sync.payload,5,data_ro,2,0.309285000,-0.190715000,0.190715000,0.381430000,0.533837540,872,0.128000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_crossboard\summary\board2_reduced_xor_w5_w10_w11_full_map_mechanism.csv
z7020_b02,board2_crossboard_full_map,restart_reduced_xor_w5_data_ro3_board2_sync.payload,5,data_ro,3,0.437257000,-0.062743000,0.062743000,0.125486000,0.829451889,907,0.907000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_crossboard\summary\board2_reduced_xor_w5_w10_w11_full_map_mechanism.csv
z7020_b02,board2_crossboard_full_map,restart_reduced_xor_w5_data_ro4_board2_sync.payload,5,data_ro,4,0.537499000,0.037499000,0.037499000,-0.074998000,0.895666024,744,0.744000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_crossboard\summary\board2_reduced_xor_w5_w10_w11_full_map_mechanism.csv
z7020_b02,board2_crossboard_full_map,restart_reduced_xor_w5_data_ro5_board2_sync.payload,5,data_ro,5,0.337120000,-0.162880000,0.162880000,0.325760000,0.593180369,939,0.061000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_crossboard\summary\board2_reduced_xor_w5_w10_w11_full_map_mechanism.csv
z7020_b02,board2_crossboard_full_map,restart_reduced_xor_w5_data_ro6_board2_sync.payload,5,data_ro,6,0.433469000,-0.066531000,0.066531000,0.133062000,0.819773194,908,0.092000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_crossboard\summary\board2_reduced_xor_w5_w10_w11_full_map_mechanism.csv
z7020_b02,board2_crossboard_full_map,restart_reduced_xor_w5_data_ro7_board2_sync.payload,5,data_ro,7,0.561380000,0.061380000,0.061380000,-0.122760000,0.832950428,896,0.896000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_crossboard\summary\board2_reduced_xor_w5_w10_w11_full_map_mechanism.csv
z7020_b02,board2_crossboard_full_map,restart_reduced_xor_w5_except_data_ro0_board2_sync.payload,5,except_data_ro,0,0.498127000,-0.001873000,0.001873000,0.003746000,0.994605761,553,0.447000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_crossboard\summary\board2_reduced_xor_w5_w10_w11_full_map_mechanism.csv
z7020_b02,board2_crossboard_full_map,restart_reduced_xor_w5_except_data_ro1_board2_sync.payload,5,except_data_ro,1,0.513199000,0.013199000,0.013199000,-0.026398000,0.962409736,601,0.399000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_crossboard\summary\board2_reduced_xor_w5_w10_w11_full_map_mechanism.csv
z7020_b02,board2_crossboard_full_map,restart_reduced_xor_w5_except_data_ro2_board2_sync.payload,5,except_data_ro,2,0.619225000,0.119225000,0.119225000,-0.238450000,0.691464376,692,0.692000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_crossboard\summary\board2_reduced_xor_w5_w10_w11_full_map_mechanism.csv
z7020_b02,board2_crossboard_full_map,restart_reduced_xor_w5_except_data_ro3_board2_sync.payload,5,except_data_ro,3,0.500041000,0.000041000,0.000041000,-0.000082000,0.999881704,573,0.573000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_crossboard\summary\board2_reduced_xor_w5_w10_w11_full_map_mechanism.csv
z7020_b02,board2_crossboard_full_map,restart_reduced_xor_w5_except_data_ro4_board2_sync.payload,5,except_data_ro,4,0.501855000,0.001855000,0.001855000,-0.003710000,0.994657506,565,0.565000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_crossboard\summary\board2_reduced_xor_w5_w10_w11_full_map_mechanism.csv
