section,evidence_class,comparison_scope,item,run,metric,value,unit,n,baseline,delta,interpretation,source_file
RO_FREQ,statistical_comparison,run01_run02_run03_repeat,random3,run01/run02/run03,closest_abs_delta_f_mhz_mean,0.654329889,MHz,3,,std=0.0188688461,repeat statistic across the three 2MiB RO_FREQ runs,E:\Project\MLDSA\RO_TRNG\data\experiments\ro_freq_analysis
RO_FREQ,statistical_comparison,run01_run02_run03_repeat,random3,run01/run02/run03,sample_shift_ppm_vs_single_mean,-51.0050737,ppm,3,,std=677.249376,repeat statistic across the three 2MiB RO_FREQ runs,E:\Project\MLDSA\RO_TRNG\data\experiments\ro_freq_analysis
RO_FREQ,statistical_comparison,sample_all_on_vs_single_on_pulling,random1,run01,sample_shift_ppm_vs_single,3466.91237,ppm,1,,,per-run observation included in run01/run02/run03 repeat statistics,E:\Project\MLDSA\RO_TRNG\data\experiments\ro_freq_analysis\20260513_random1_random3_fixed_run01_2mib\random1_random3_fixed_run01_2mib_pulling.csv
RO_FREQ,statistical_comparison,sample_all_on_vs_single_on_pulling,random1,run02,sample_shift_ppm_vs_single,-891.37296,ppm,1,,,per-run observation included in run01/run02/run03 repeat statistics,E:\Project\MLDSA\RO_TRNG\data\experiments\ro_freq_analysis\20260513_ro_freq_run02\ro_freq_run02_pulling.csv
RO_FREQ,statistical_comparison,sample_all_on_vs_single_on_pulling,random1,run03,sample_shift_ppm_vs_single,-1539.61796,ppm,1,,,per-run observation included in run01/run02/run03 repeat statistics,E:\Project\MLDSA\RO_TRNG\data\experiments\ro_freq_analysis\20260513_ro_freq_run03\ro_freq_run03_pulling.csv
RO_FREQ,statistical_comparison,sample_all_on_vs_single_on_pulling,random3,run01,sample_shift_ppm_vs_single,-824.555525,ppm,1,,,per-run observation included in run01/run02/run03 repeat statistics,E:\Project\MLDSA\RO_TRNG\data\experiments\ro_freq_analysis\20260513_random1_random3_fixed_run01_2mib\random1_random3_fixed_run01_2mib_pulling.csv
RO_FREQ,statistical_comparison,sample_all_on_vs_single_on_pulling,random3,run02,sample_shift_ppm_vs_single,435.17584,ppm,1,,,per-run observation included in run01/run02/run03 repeat statistics,E:\Project\MLDSA\RO_TRNG\data\experiments\ro_freq_analysis\20260513_ro_freq_run02\ro_freq_run02_pulling.csv
RO_FREQ,statistical_comparison,sample_all_on_vs_single_on_pulling,random3,run03,sample_shift_ppm_vs_single,236.364464,ppm,1,,,per-run observation included in run01/run02/run03 repeat statistics,E:\Project\MLDSA\RO_TRNG\data\experiments\ro_freq_analysis\20260513_ro_freq_run03\ro_freq_run03_pulling.csv
TDC,statistical_comparison,near_far_repeat_runs,far,all_repeats,diff_std_ps_mean,1918.04285,ps,2,,std=3.88619997,far TDC repeat statistic,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc
TDC,statistical_comparison,near_far_repeat_runs,far,all_repeats,phase_pearson_r_mean,-0.000450586268,,2,,std=0.00389340702,far TDC repeat statistic,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc
TDC,statistical_comparison,near_far_repeat_runs,far,all_repeats,seq_gaps_mean,21.5,,2,,std=30.4055916,far TDC repeat statistic,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc
TDC,statistical_comparison,near_far_repeat_runs,far,tdc_far_run01,diff_std_ps,1915.2948874947929,ps,1,,,per-run TDC repeat metric,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc\analysis_tdc_far_run01\tdc_far_run01.tdc_metrics.csv
TDC,statistical_comparison,near_far_repeat_runs,far,tdc_far_run01,lane_a_used_bins,73,,1,,,per-run TDC repeat metric,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc\analysis_tdc_far_run01\tdc_far_run01.tdc_metrics.csv
TDC,statistical_comparison,near_far_repeat_runs,far,tdc_far_run01,lane_b_used_bins,73,,1,,,per-run TDC repeat metric,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc\analysis_tdc_far_run01\tdc_far_run01.tdc_metrics.csv
TDC,statistical_comparison,near_far_repeat_runs,far,tdc_far_run01,packets,262132,,1,,,per-run TDC repeat metric,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc\analysis_tdc_far_run01\tdc_far_run01.tdc_metrics.csv
